event_id,external_contact_id,campaign_external_id,event_type,channel,occurred_at_utc
EV-00011514,CT-004476,KAR-0007,bounce,sms,2026-04-03T22:23:17.089578Z
EV-00001358,CT-000071,KAR-0018,complaint,sms,2026-03-21T10:02:35.359928Z
EV-00025072,CT-004540,KAR-0010,click,sms,2026-03-08T08:01:26.897425Z
EV-00058632,CT-002003,KAR-0008,open,sms,2026-03-21T08:19:41.293265Z
EV-00059706,CT-001752,KAR-0002,complaint,email,2026-03-25T06:37:43.341876Z
EV-00049450,CT-007607,KAR-0017,unsubscribe,sms,2026-03-04T11:45:01.323207Z
EV-00051547,CT-000941,KAR-0011,click,email,2026-03-26T01:51:50.711554Z
EV-00053820,CT-011721,KAR-0012,complaint,sms,2026-03-05T05:28:05.398062Z
EV-00015092,CT-009385,KAR-0018,complaint,email,2026-03-27T19:08:51.660495Z
EV-00024957,CT-004910,KAR-0012,complaint,sms,2026-03-16T04:42:58.676454Z
EV-00045326,CT-007516,KAR-0003,click,sms,2026-03-09T10:40:28.337204Z
EV-00009032,CT-002316,KAR-0017,bounce,sms,2026-03-22T23:17:31.028287Z
EV-00007645,CT-011371,KAR-0002,complaint,email,2026-03-02T12:04:53.923890Z
EV-00030839,CT-011356,KAR-0004,bounce,sms,2026-04-03T04:41:01.444154Z
EV-00011154,CT-001430,KAR-0002,unsubscribe,email,2026-03-27T21:28:31.106569Z
EV-00065344,CT-006568,KAR-0010,complaint,email,2026-03-08T07:50:30.154057Z
EV-00038571,CT-000494,KAR-0007,click,email,2026-04-02T05:47:25.503855Z
EV-00008821,CT-008350,KAR-0005,open,sms,2026-03-08T23:55:30.688537Z
EV-00060655,CT-011936,KAR-0005,unsubscribe,email,2026-03-28T10:10:32.964925Z
EV-00002797,CT-006213,KAR-0001,complaint,email,2026-03-23T12:53:07.716763Z
EV-00027533,CT-011418,KAR-0014,complaint,sms,2026-04-01T16:18:43.378311Z
EV-00022681,CT-003598,KAR-0017,bounce,email,2026-03-05T05:27:04.656802Z
EV-00058368,CT-002639,KAR-0018,bounce,email,2026-03-22T08:52:21.891650Z
EV-00052638,CT-001748,KAR-0013,open,sms,2026-03-04T14:56:15.363046Z
EV-00007307,CT-006897,KAR-0013,bounce,email,2026-03-16T19:45:44.702288Z
EV-00050880,CT-012204,KAR-0002,open,email,2026-03-27T21:20:52.214004Z
EV-00031065,CT-001885,KAR-0007,bounce,sms,2026-04-03T10:38:44.165452Z
EV-00006479,CT-004499,KAR-0010,complaint,email,2026-03-16T00:44:38.231326Z
EV-00051312,CT-006415,KAR-0015,complaint,email,2026-03-16T01:29:37.537079Z
EV-00032490,CT-009459,KAR-0012,bounce,sms,2026-03-04T16:35:04.610688Z
EV-00062110,CT-005864,KAR-0010,unsubscribe,sms,2026-03-08T20:24:53.736504Z
EV-00007807,CT-011550,KAR-0017,open,email,2026-03-31T10:39:30.751914Z
EV-00022668,CT-005547,KAR-0001,unsubscribe,sms,2026-03-19T05:54:04.264816Z
EV-00004733,CT-006942,KAR-0005,complaint,sms,2026-04-02T21:47:59.052699Z
EV-00033253,CT-010817,KAR-0008,unsubscribe,sms,2026-04-04T02:38:21.199699Z
EV-00053836,CT-004253,KAR-0012,click,sms,2026-03-25T08:14:59.063304Z
EV-00049093,CT-002317,KAR-0005,complaint,email,2026-03-19T07:02:19.518641Z
EV-00000503,CT-003526,KAR-0014,open,sms,2026-03-15T15:53:25.511170Z
EV-00019201,CT-004243,KAR-0007,open,email,2026-03-22T14:26:05.457693Z
EV-00041488,CT-001819,KAR-0013,complaint,email,2026-03-08T07:34:48.375910Z
EV-00055237,CT-009444,KAR-0012,unsubscribe,sms,2026-03-12T06:56:21.553497Z
EV-00036399,CT-011404,KAR-0005,bounce,sms,2026-03-17T23:58:58.495445Z
EV-00061918,CT-000101,KAR-0009,unsubscribe,email,2026-03-06T23:10:15.046652Z
EV-00008073,CT-008801,KAR-0017,click,sms,2026-03-27T13:23:48.720438Z
EV-00041567,CT-000320,KAR-0015,bounce,sms,2026-03-20T07:19:24.063329Z
EV-00005970,CT-010871,KAR-0012,open,sms,2026-03-06T22:51:29.340677Z
EV-00062065,CT-010943,KAR-0016,complaint,email,2026-03-11T19:13:30.046567Z
EV-00036073,CT-008398,KAR-0005,click,email,2026-03-29T15:29:39.982006Z
EV-00016384,CT-008824,KAR-0004,unsubscribe,email,2026-03-23T14:18:53.159719Z
EV-00048707,CT-010002,KAR-0010,open,email,2026-03-21T06:06:36.763564Z
EV-00003628,CT-009882,KAR-0014,bounce,sms,2026-03-11T18:12:49.080372Z
EV-00044786,CT-010954,KAR-0018,click,email,2026-03-08T17:18:13.997050Z
EV-00062876,CT-008800,KAR-0003,complaint,sms,2026-03-10T11:18:59.882391Z
EV-00064534,CT-010236,KAR-0010,open,sms,2026-03-19T03:11:09.758874Z
EV-00002053,CT-008918,KAR-0006,open,sms,2026-03-28T03:42:22.159861Z
EV-00026137,CT-009124,KAR-0004,unsubscribe,sms,2026-03-30T22:36:27.831266Z
EV-00060781,CT-009267,KAR-0017,open,email,2026-03-14T08:26:47.343622Z
EV-00021698,CT-002759,KAR-0006,open,email,2026-03-22T02:04:29.107116Z
EV-00020286,CT-001531,KAR-0002,click,sms,2026-03-04T01:00:38.866310Z
EV-00052373,CT-002717,KAR-0006,bounce,sms,2026-03-08T14:43:05.522749Z
EV-00030575,CT-000071,KAR-0018,unsubscribe,email,2026-03-02T23:13:01.683775Z
EV-00059764,CT-006852,KAR-0013,bounce,sms,2026-03-20T10:47:49.571391Z
EV-00056193,CT-000274,KAR-0006,bounce,sms,2026-03-21T15:40:11.652371Z
EV-00020261,CT-011588,KAR-0008,complaint,sms,2026-03-20T17:39:30.786232Z
EV-00029429,CT-003542,KAR-0015,open,sms,2026-03-20T19:21:18.102814Z
EV-00054377,CT-011758,KAR-0003,open,sms,2026-03-03T05:07:56.582761Z
EV-00025806,CT-007025,KAR-0006,click,email,2026-04-04T03:04:31.372347Z
EV-00065199,CT-009752,KAR-0011,open,sms,2026-03-27T06:24:37.520132Z
EV-00018019,CT-001299,KAR-0013,complaint,sms,2026-03-22T21:55:15.781724Z
EV-00044107,CT-001642,KAR-0006,complaint,email,2026-03-06T21:09:14.507416Z
EV-00007335,CT-002623,KAR-0005,unsubscribe,sms,2026-03-08T18:21:20.727526Z
EV-00040995,CT-001296,KAR-0010,complaint,sms,2026-03-08T20:05:08.287055Z
EV-00056398,CT-000163,KAR-0013,open,sms,2026-04-01T09:39:46.942762Z
EV-00030376,CT-004632,KAR-0005,bounce,email,2026-03-25T12:57:14.907793Z
EV-00031347,CT-009373,KAR-0018,unsubscribe,sms,2026-03-01T09:41:36.215788Z
EV-00003220,CT-009590,KAR-0017,bounce,sms,2026-03-04T21:18:21.163636Z
EV-00017089,CT-008942,KAR-0016,unsubscribe,email,2026-03-24T08:14:53.894979Z
EV-00010443,CT-009654,KAR-0015,bounce,sms,2026-03-03T13:10:18.724770Z
EV-00021771,CT-009669,KAR-0012,bounce,email,2026-03-20T01:07:05.129277Z
EV-00060296,CT-004749,KAR-0010,open,sms,2026-03-28T16:13:48.013164Z
EV-00068822,CT-010907,KAR-0016,complaint,sms,2026-03-22T01:37:48.790351Z
EV-00060538,CT-012092,KAR-0008,unsubscribe,sms,2026-03-14T02:23:37.194750Z
EV-00065622,CT-004290,KAR-0007,complaint,email,2026-03-10T19:51:35.772974Z
EV-00044084,CT-003587,KAR-0018,unsubscribe,sms,2026-03-20T06:48:33.609521Z
EV-00029001,CT-001449,KAR-0001,open,sms,2026-03-24T08:23:36.706052Z
EV-00040397,CT-002301,KAR-0015,complaint,sms,2026-03-19T14:31:35.728203Z
EV-00013318,CT-003073,KAR-0004,complaint,email,2026-04-05T00:04:18.670307Z
EV-00066858,CT-001066,KAR-0006,open,email,2026-03-09T10:05:40.298998Z
EV-00003950,CT-010609,KAR-0011,unsubscribe,sms,2026-04-04T19:01:22.793122Z
EV-00056065,CT-005684,KAR-0001,complaint,email,2026-03-15T02:39:36.586145Z
EV-00031479,CT-003523,KAR-0005,click,email,2026-03-11T00:45:24.816291Z
EV-00018917,CT-009977,KAR-0006,bounce,sms,2026-04-02T15:20:34.712504Z
EV-00024744,CT-001421,KAR-0003,bounce,email,2026-03-17T20:44:06.854672Z
EV-00044499,CT-006938,KAR-0009,complaint,email,2026-03-07T06:03:55.051829Z
EV-00035190,CT-010985,KAR-0006,bounce,email,2026-04-03T01:02:53.748698Z
EV-00004393,CT-006968,KAR-0002,bounce,sms,2026-03-24T09:06:16.885217Z
EV-00065917,CT-011399,KAR-0013,click,email,2026-03-01T21:02:09.063282Z
EV-00062539,CT-007233,KAR-0003,open,sms,2026-03-08T17:21:46.394738Z
EV-00035367,CT-008818,KAR-0002,complaint,email,2026-03-11T20:09:34.319450Z
EV-00000703,CT-009642,KAR-0012,click,sms,2026-03-08T00:55:12.662664Z
EV-00044223,CT-001037,KAR-0006,complaint,sms,2026-04-01T01:34:49.411363Z
EV-00042586,CT-001180,KAR-0003,complaint,email,2026-03-14T22:50:49.676953Z
EV-00004588,CT-011225,KAR-0009,bounce,email,2026-03-12T13:11:40.785792Z
EV-00067322,CT-007288,KAR-0003,click,email,2026-03-28T04:26:08.148820Z
EV-00047277,CT-012349,KAR-0010,unsubscribe,email,2026-03-04T04:24:59.829770Z
EV-00048644,CT-010773,KAR-0015,bounce,sms,2026-03-11T14:40:43.466299Z
EV-00040383,CT-000496,KAR-0013,click,sms,2026-03-31T08:09:39.097121Z
EV-00029910,CT-003806,KAR-0004,open,email,2026-03-14T03:51:22.247507Z
EV-00048080,CT-003896,KAR-0013,unsubscribe,email,2026-03-01T23:33:51.403381Z
EV-00050609,CT-003734,KAR-0007,open,email,2026-03-07T06:32:57.158343Z
EV-00052673,CT-009341,KAR-0015,unsubscribe,sms,2026-03-16T21:51:11.540706Z
EV-00038628,CT-012216,KAR-0010,click,sms,2026-03-15T11:49:31.655724Z
EV-00025384,CT-003525,KAR-0007,open,email,2026-03-21T09:56:58.242503Z
EV-00059863,CT-009039,KAR-0007,click,sms,2026-03-16T13:49:01.655249Z
EV-00047894,CT-008855,KAR-0006,bounce,sms,2026-03-09T22:11:31.078358Z
EV-00063128,CT-008839,KAR-0003,bounce,sms,2026-03-31T10:59:13.234183Z
EV-00041347,CT-011890,KAR-0008,open,email,2026-03-06T07:46:24.055823Z
EV-00049598,CT-005796,KAR-0012,bounce,email,2026-03-24T19:58:23.992460Z
EV-00027794,CT-001426,KAR-0012,unsubscribe,email,2026-03-18T22:49:48.867150Z
EV-00050461,CT-010453,KAR-0012,complaint,sms,2026-03-08T06:47:26.158310Z
EV-00013489,CT-008436,KAR-0005,open,sms,2026-03-21T23:28:53.361242Z
EV-00036103,CT-009980,KAR-0017,click,email,2026-03-26T00:52:37.436304Z
EV-00008690,CT-005747,KAR-0011,unsubscribe,email,2026-03-30T01:17:12.276679Z
EV-00056575,CT-000599,KAR-0001,bounce,email,2026-03-11T03:51:35.192228Z
EV-00063930,CT-006524,KAR-0005,bounce,email,2026-03-09T12:05:36.821412Z
EV-00054000,CT-004845,KAR-0003,complaint,sms,2026-03-07T14:07:55.791438Z
EV-00032157,CT-003453,KAR-0004,click,email,2026-03-12T12:57:26.704566Z
EV-00026919,CT-000816,KAR-0003,open,email,2026-03-14T04:06:06.173594Z
EV-00028982,CT-008255,KAR-0015,click,email,2026-03-08T01:20:54.137004Z
EV-00018784,CT-007004,KAR-0016,click,sms,2026-03-20T04:52:20.181472Z
EV-00058155,CT-008631,KAR-0002,unsubscribe,email,2026-03-21T20:01:21.654207Z
EV-00048802,CT-006712,KAR-0009,complaint,sms,2026-03-29T19:11:11.906474Z
EV-00044432,CT-002418,KAR-0011,complaint,sms,2026-03-09T08:58:58.026084Z
EV-00023919,CT-012012,KAR-0016,unsubscribe,email,2026-03-03T08:59:55.260227Z
EV-00015042,CT-009370,KAR-0015,bounce,email,2026-03-29T00:06:17.161791Z
EV-00007954,CT-007483,KAR-0008,complaint,sms,2026-03-03T06:22:16.861254Z
EV-00055460,CT-010740,KAR-0014,unsubscribe,email,2026-03-22T18:24:04.812919Z
EV-00021537,CT-010813,KAR-0005,open,sms,2026-03-29T16:19:06.528569Z
EV-00050953,CT-010349,KAR-0017,open,email,2026-03-19T16:19:52.386697Z
EV-00065551,CT-007463,KAR-0005,unsubscribe,email,2026-03-11T11:14:10.137140Z
EV-00007155,CT-000580,KAR-0017,complaint,email,2026-03-25T17:44:12.486943Z
EV-00061769,CT-001828,KAR-0003,complaint,sms,2026-04-01T16:17:22.129091Z
EV-00043016,CT-011637,KAR-0004,open,email,2026-04-02T00:19:33.201642Z
EV-00033473,CT-004116,KAR-0016,click,email,2026-03-05T17:33:48.891154Z
EV-00002297,CT-011358,KAR-0006,bounce,sms,2026-03-21T14:46:59.243085Z
EV-00022578,CT-000287,KAR-0013,bounce,sms,2026-04-01T15:19:56.961727Z
EV-00066527,CT-004894,KAR-0010,open,email,2026-03-28T02:24:29.648245Z
EV-00067416,CT-000417,KAR-0012,complaint,sms,2026-03-30T09:35:04.321205Z
EV-00005480,CT-009049,KAR-0010,open,email,2026-04-01T09:01:26.084711Z
EV-00016021,CT-002936,KAR-0002,open,sms,2026-03-20T08:58:51.850328Z
EV-00004183,CT-006096,KAR-0008,bounce,email,2026-03-24T00:29:25.343418Z
EV-00062122,CT-003906,KAR-0005,unsubscribe,sms,2026-03-18T10:07:32.294189Z
EV-00008636,CT-012036,KAR-0013,click,email,2026-03-15T15:19:34.120681Z
EV-00026067,CT-005787,KAR-0007,complaint,email,2026-03-06T04:39:36.063155Z
EV-00002907,CT-011523,KAR-0014,open,email,2026-04-03T04:28:48.504562Z
EV-00064243,CT-006539,KAR-0013,bounce,sms,2026-03-31T00:40:39.369961Z
EV-00067504,CT-006740,KAR-0015,open,sms,2026-03-09T04:45:13.227847Z
EV-00017339,CT-012359,KAR-0006,bounce,sms,2026-03-06T11:43:56.519637Z
EV-00022767,CT-000788,KAR-0010,open,sms,2026-03-12T19:34:45.737290Z
EV-00052877,CT-009400,KAR-0005,unsubscribe,sms,2026-03-11T19:00:18.991976Z
EV-00046585,CT-010989,KAR-0001,bounce,email,2026-03-23T12:45:18.164376Z
EV-00043768,CT-009694,KAR-0011,click,email,2026-03-30T05:00:42.251697Z
EV-00034973,CT-006329,KAR-0015,open,email,2026-03-06T10:32:40.164807Z
EV-00032389,CT-008060,KAR-0014,complaint,sms,2026-03-23T00:33:37.937553Z
EV-00057872,CT-011645,KAR-0006,unsubscribe,email,2026-03-04T13:05:24.454427Z
EV-00029959,CT-002892,KAR-0018,open,sms,2026-04-04T03:31:30.237452Z
EV-00045007,CT-010682,KAR-0002,unsubscribe,sms,2026-04-03T17:41:02.234442Z
EV-00020129,CT-008409,KAR-0007,open,email,2026-03-25T11:14:53.901418Z
EV-00060539,CT-011669,KAR-0006,bounce,email,2026-03-11T05:09:46.519048Z
EV-00051724,CT-006853,KAR-0012,complaint,email,2026-03-28T06:13:06.362319Z
EV-00033524,CT-009254,KAR-0007,bounce,sms,2026-03-06T14:20:29.148482Z
EV-00013865,CT-005246,KAR-0001,unsubscribe,email,2026-03-20T08:46:57.283557Z
EV-00023988,CT-007803,KAR-0008,unsubscribe,email,2026-03-19T19:07:26.922653Z
EV-00055298,CT-011328,KAR-0015,complaint,email,2026-03-14T19:36:54.449177Z
EV-00024373,CT-009959,KAR-0004,open,sms,2026-03-27T15:53:28.538009Z
EV-00025930,CT-006440,KAR-0015,click,sms,2026-03-15T15:09:37.529505Z
EV-00066210,CT-004000,KAR-0004,open,sms,2026-03-18T17:15:00.554787Z
EV-00036196,CT-010795,KAR-0008,unsubscribe,sms,2026-03-07T22:31:16.498230Z
EV-00008068,CT-000967,KAR-0015,click,sms,2026-04-02T17:57:23.345569Z
EV-00040771,CT-007221,KAR-0016,bounce,sms,2026-03-24T08:26:36.025256Z
EV-00004838,CT-008005,KAR-0004,open,sms,2026-03-12T17:22:22.639543Z
EV-00000830,CT-001853,KAR-0003,bounce,sms,2026-03-12T16:31:13.140330Z
EV-00046658,CT-009124,KAR-0015,unsubscribe,sms,2026-03-02T05:24:45.546556Z
EV-00012192,CT-009771,KAR-0011,unsubscribe,sms,2026-03-03T12:00:08.299419Z
EV-00045054,CT-008357,KAR-0003,complaint,email,2026-03-20T10:31:34.640739Z
EV-00042484,CT-007946,KAR-0005,click,sms,2026-03-05T02:15:33.606041Z
EV-00030314,CT-003749,KAR-0014,open,sms,2026-03-27T13:46:52.166433Z
EV-00032220,CT-003666,KAR-0016,bounce,email,2026-03-06T15:51:51.404292Z
EV-00021569,CT-007425,KAR-0014,complaint,sms,2026-03-09T14:42:56.144107Z
EV-00064872,CT-006697,KAR-0004,bounce,email,2026-03-23T18:14:03.373070Z
EV-00045102,CT-001231,KAR-0014,bounce,email,2026-04-03T22:56:45.474306Z
EV-00054400,CT-002663,KAR-0014,complaint,sms,2026-03-09T03:49:16.686499Z
EV-00007839,CT-000993,KAR-0016,click,email,2026-03-16T14:50:09.104794Z
EV-00000518,CT-007498,KAR-0001,open,email,2026-03-26T03:44:31.372961Z
EV-00049669,CT-005392,KAR-0001,open,sms,2026-03-23T09:47:03.688464Z
EV-00066342,CT-011278,KAR-0013,bounce,sms,2026-03-18T22:10:02.292867Z
EV-00054804,CT-001071,KAR-0013,bounce,sms,2026-03-28T15:54:03.952727Z
EV-00046562,CT-001938,KAR-0013,unsubscribe,email,2026-03-03T21:46:23.308772Z
EV-00005791,CT-005825,KAR-0015,open,sms,2026-03-06T12:56:28.341472Z
EV-00005200,CT-006649,KAR-0018,click,email,2026-04-01T12:45:31.958898Z
EV-00017590,CT-004949,KAR-0003,complaint,sms,2026-03-20T18:03:06.583826Z
EV-00057644,CT-005598,KAR-0003,click,sms,2026-03-07T10:43:05.700277Z
EV-00051909,CT-011074,KAR-0010,unsubscribe,email,2026-03-25T22:10:31.318856Z
EV-00039676,CT-000260,KAR-0004,open,email,2026-03-20T01:15:39.885441Z
EV-00062834,CT-011595,KAR-0005,click,email,2026-03-10T11:53:17.060822Z
EV-00036956,CT-011208,KAR-0004,click,email,2026-04-04T06:33:18.781032Z
EV-00054047,CT-005058,KAR-0004,unsubscribe,sms,2026-03-17T10:18:13.568485Z
EV-00041253,CT-012379,KAR-0005,click,sms,2026-04-03T04:51:03.744957Z
EV-00017850,CT-000133,KAR-0015,click,sms,2026-03-26T18:28:49.408567Z
EV-00044032,CT-001374,KAR-0013,bounce,email,2026-03-30T01:56:04.221882Z
EV-00054066,CT-004034,KAR-0016,open,sms,2026-03-20T05:00:58.014186Z
EV-00034427,CT-006016,KAR-0014,complaint,email,2026-04-01T01:46:35.964710Z
EV-00057452,CT-001743,KAR-0012,bounce,sms,2026-04-02T18:07:45.994600Z
EV-00058762,CT-002503,KAR-0011,open,email,2026-03-15T07:24:29.890067Z
EV-00058664,CT-003263,KAR-0012,click,email,2026-04-03T23:25:06.609922Z
EV-00011271,CT-004009,KAR-0010,click,email,2026-03-06T15:10:17.529968Z
EV-00068597,CT-010153,KAR-0004,unsubscribe,email,2026-03-05T23:48:08.585366Z
EV-00021345,CT-009541,KAR-0014,bounce,email,2026-03-29T20:55:01.379577Z
EV-00057289,CT-000623,KAR-0009,click,sms,2026-03-27T23:47:00.014881Z
EV-00031651,CT-003450,KAR-0011,bounce,email,2026-03-03T08:53:23.366727Z
EV-00049495,CT-005156,KAR-0004,click,sms,2026-03-16T09:22:07.293368Z
EV-00052821,CT-008379,KAR-0018,complaint,email,2026-03-20T10:01:38.009040Z
EV-00065149,CT-010442,KAR-0002,bounce,email,2026-03-02T00:42:52.693488Z
EV-00055060,CT-000974,KAR-0003,bounce,sms,2026-03-08T23:10:58.206870Z
EV-00060745,CT-000500,KAR-0010,complaint,email,2026-03-27T15:08:12.444720Z
EV-00038987,CT-008281,KAR-0009,complaint,sms,2026-03-26T05:15:07.393321Z
EV-00030145,CT-005973,KAR-0008,open,email,2026-03-16T04:46:07.303460Z
EV-00044259,CT-012056,KAR-0016,unsubscribe,email,2026-03-29T14:26:21.057573Z
EV-00015060,CT-003756,KAR-0003,open,email,2026-03-14T01:00:50.922366Z
EV-00032896,CT-003447,KAR-0008,unsubscribe,sms,2026-03-22T13:05:55.168432Z
EV-00041409,CT-008284,KAR-0003,complaint,email,2026-03-05T22:31:47.551909Z
EV-00017200,CT-004635,KAR-0013,click,sms,2026-03-20T20:38:08.362160Z
EV-00013461,CT-002094,KAR-0002,click,sms,2026-03-01T09:18:35.011163Z
EV-00023254,CT-000969,KAR-0018,click,email,2026-03-08T14:25:32.115518Z
EV-00051825,CT-010705,KAR-0004,unsubscribe,email,2026-03-29T13:21:27.177778Z
EV-00032984,CT-008845,KAR-0006,bounce,email,2026-03-31T21:18:10.935946Z
EV-00056441,CT-001077,KAR-0014,click,sms,2026-04-04T15:53:35.500435Z
EV-00018364,CT-007297,KAR-0015,click,email,2026-03-30T23:08:37.482922Z
EV-00014633,CT-010616,KAR-0005,bounce,email,2026-03-21T03:54:36.318433Z
EV-00019312,CT-000819,KAR-0005,open,sms,2026-03-23T08:12:20.729202Z
EV-00011963,CT-000504,KAR-0002,complaint,sms,2026-03-09T10:19:38.227527Z
EV-00039467,CT-005079,KAR-0004,click,sms,2026-03-21T20:28:20.264445Z
EV-00033328,CT-011967,KAR-0001,complaint,email,2026-03-04T22:38:24.947149Z
EV-00060255,CT-003586,KAR-0013,complaint,sms,2026-03-05T08:53:24.907272Z
EV-00040457,CT-010737,KAR-0008,unsubscribe,email,2026-03-03T17:03:02.148226Z
EV-00020325,CT-008085,KAR-0002,bounce,sms,2026-03-02T11:01:36.259340Z
EV-00062196,CT-005600,KAR-0006,open,email,2026-03-08T06:11:12.444593Z
EV-00066395,CT-003972,KAR-0005,open,email,2026-04-01T03:53:59.727939Z
EV-00050061,CT-006885,KAR-0012,open,sms,2026-03-08T20:48:41.763797Z
EV-00050977,CT-005877,KAR-0010,open,email,2026-04-04T08:32:00.040383Z
EV-00044894,CT-009479,KAR-0014,click,sms,2026-03-25T05:31:14.640132Z
EV-00061086,CT-005055,KAR-0008,unsubscribe,sms,2026-03-08T03:55:36.947013Z
EV-00021535,CT-009499,KAR-0014,unsubscribe,email,2026-03-24T07:54:50.239293Z
EV-00020862,CT-000582,KAR-0004,complaint,email,2026-04-01T07:55:10.016438Z
EV-00042912,CT-004609,KAR-0002,open,sms,2026-04-03T13:35:48.968683Z
EV-00049290,CT-010528,KAR-0013,click,email,2026-03-18T18:57:57.923095Z
EV-00028921,CT-000446,KAR-0018,complaint,email,2026-03-29T09:01:48.207976Z
EV-00068353,CT-003585,KAR-0011,bounce,email,2026-03-20T10:20:02.494123Z
EV-00029120,CT-005567,KAR-0018,click,email,2026-03-06T00:03:46.254003Z
EV-00003681,CT-011207,KAR-0009,open,sms,2026-03-10T12:05:21.483158Z
EV-00010391,CT-007008,KAR-0003,unsubscribe,sms,2026-03-20T10:19:49.323129Z
