external_id,campaign_name,channel,target_country,reported_sent,reported_delivered,reported_bounced,reported_opens,reported_clicks,spend,sent_at_utc,send_local_time,parent_campaign_id
CMP-014,Weekend Flash Sale,email,,19000,18204,796,9100,2600,640.00,2026-04-09T14:13:33Z,2026-04-09 17:13,
KIL-0009,Promo KIL-0009,email,,10826,10284,541,11765,2363,722.72,2026-02-09T04:14:08Z,2026-02-09 07:14,
KIL-0033,Draft KIL-0033,email,,0,0,0,0,0,0.00,2026-03-04T20:25:20Z,2026-03-04 23:25,
KIL-0045,SMS Blast,sms,,62000,60900,1100,0,0,980.00,2026-03-29T09:30:44Z,2026-03-29 12:30,
KIL-0012,March Regulars,email,,18500,18000,500,8200,2100,730.00,2026-02-08T09:39:01Z,2026-02-08 12:39,
KIL-0017,Campaign KIL-0017,email,,17769,17005,764,2137,2807,566.90,2026-02-10T09:21:31Z,2026-02-10 12:21,
KIL-0010,Campaign KIL-0010,email,KE,9433,8702,731,1574,589,1478.93,2026-03-17T15:05:16Z,2026-03-17 18:05,
KIL-0043,Campaign KIL-0043,sms,KE,23773,22129,1644,9956,929,238.23,2026-03-21T07:19:24Z,2026-03-21 10:19,
KIL-0001,Campaign KIL-0001,email,KE,18649,16863,1786,8888,1278,158.96,2026-02-03T00:55:18Z,2026-02-03 03:55,
KIL-0027,Campaign KIL-0027,sms,,14432,14129,303,2942,782,374.55,2026-04-06T20:55:48Z,2026-04-06 23:55,
KIL-0035,Draft KIL-0035,email,,0,0,0,0,0,0.00,2026-03-19T12:13:05Z,2026-03-19 15:13,
KIL-0019,Campaign KIL-0019,sms,,9716,9220,496,2304,775,254.09,2026-03-09T18:50:42Z,2026-03-09 21:50,
KIL-0034,Draft KIL-0034,email,,0,0,0,0,0,0.00,2026-04-08T13:30:59Z,2026-04-08 16:30,
KIL-0018,Campaign KIL-0018,sms,,12845,12018,827,5331,1715,830.60,2026-03-15T10:59:29Z,2026-03-15 13:59,
KIL-0042,Campaign KIL-0042,email,,21936,20946,990,1450,984,1040.84,2026-02-16T01:40:25Z,2026-02-16 04:40,
KIL-0036,Campaign KIL-0036,sms,,9126,8712,414,1236,2909,1407.26,2026-03-28T06:19:29Z,2026-03-28 09:19,
KIL-0014,Campaign KIL-0014,email,,5707,5405,302,2928,1608,1482.34,2026-02-01T11:09:28Z,2026-02-01 14:09,
KIL-0037,Campaign KIL-0037,sms,,20808,19842,966,1938,963,855.22,2026-04-03T17:02:17Z,2026-04-03 20:02,
